#U_max=2.784+-0.005V; I_0=-6.0+-1.0mV; U_0=0.302+-0.02V; lambda=578nm; Verstärkung=1e-2; andere größere Blendeneinstellung
#U_G I
1.846 -6.0 1.0 0.005
1.457 -5.3 1.0 0.005
1.031 -6.0 1.0 0.005
0.393 -4.8 1.0 0.005
0.330 -2.8 1.0 0.005
0.301 -0.9 1.0 0.005
0.267 1.5 1.0 0.005
0.260 1.8 1.0 0.005
0.244 3.8 1.0 0.005
0.239 3.4 1.0 0.005
0.195 8.6 1.0 0.005
0.170 17.0 1.0 0.005
0.159 16.3 1.0 0.005
0.156 15.5 1.0 0.005
0.134 23.5 1.0 0.005
0.112 29.0 1.0 0.005
0.089 28.3 1.0 0.005
0.050 47.0 1.0 0.005
0.047 38.3 1.0 0.005
0.035 52.4 1.0 0.005
0.026 46.5 1.0 0.005
0.023 53.3 1.0 0.005
0.021 54.7 1.0 0.005
0.014 57.0 1.0 0.005
0.008 54.0 1.0 0.005
0.005 60.8 1.0 0.005
