#U_max=2.784+-0.005V; I_0=-13.6+-1.0mV; U_0=0.7+-1.0mV; lambda=305nm; Verstärkung=1e-1
#U_G I
2.148 -12.9 1.0 0.005
1.762 -12.9 1.0 0.005
1.553 -12.4 1.0 0.005
1.286 -12.1 1.0 0.005
0.943 -10.4 1.0 0.005
0.883 -9.2 1.0 0.005
0.690 -1.5 1.0 0.005
0.640 1.2 1.0 0.005
0.604 3.1 1.0 0.005
0.575 5.4 1.0 0.005
0.537 6.6 1.0 0.005
0.521 9.1 1.0 0.005
0.490 11.5 1.0 0.005
0.468 13.1 1.0 0.005
0.452 13.5 1.0 0.005
0.438 15.3 1.0 0.005
0.417 16.1 1.0 0.005
0.396 19.0 1.0 0.005
0.396 18.1 1.0 0.005
0.348 23.2 1.0 0.005
0.310 26.3 1.0 0.005
0.249 32.0 1.0 0.005
0.178 38.9 1.0 0.005
0.104 45.8 1.0 0.005
0.013 56.6 1.0 0.005
0.006 57.7 1.0 0.005
