# A_len [µs]   max Probe [V] Delta Probe [mV]   max I Delta [mV] Delta I[mV]
0.5 .52 .1 66 10
1.0 .95 .1 100 10
1.5 1.26 .1 124 10
2.0 1.45 .1 185 10
2.5 1.45 .1 188 10
3.0 1.33 .1 177 10
3.5 1.07 .1 145 10
4.0 .73 .1 101 10
4.5 .38 .1 49 10
5.0 .13 .1 -9 10
5.5 .45 .1 -69 10
6.0 .88 .1 -124 10
6.5 1.16 .1 -167 10
7.0 1.36 .1 -195 10
7.5 1.46 .1 -211 10
8.0 1.35 .1 -196 10
8.5 1.1 .1 -162 10
9.0 .71 .1 -104 10
9.5 .22 .1 -27 10
10.0 .45 .1 50 10
10.5 .9 .1 113 10
11.0 1.37 .1 163 10
11.5 1.41 .1 188 10
12.0 1.42 .1 191 10
