2.000000000000000000e+00 1.008403361344537789e-03 1.680673123426118000e-03
8.000000000000000000e+00 6.122448979591836420e-03 1.360569717027377418e-03
2.000000000000000000e+01 3.986486486486486014e-02 1.352424713889746220e-03
8.000000000000000000e+01 5.346666666666666234e-01 6.704674116789397474e-03
2.000000000000000000e+02 9.693333333333332691e-01 6.790792080929864728e-03
8.000000000000000000e+02 1.001333333333333409e+00 9.434377903166328919e-03
2.000000000000000000e+03 1.001333333333333409e+00 9.434377903166328919e-03
8.000000000000000000e+03 8.473895582329317167e-01 8.773435980300935480e-03
2.000000000000000000e+04 2.459677419354838745e-01 6.920738374264077258e-03
8.000000000000000000e+04 1.597315436241610737e-02 6.796488142493734745e-04
2.000000000000000000e+05 2.684563758389261600e-03 2.690603007806785778e-04
8.000000000000000000e+05 2.013422818791946254e-04 1.342349895448669754e-04
2.000000000000000000e+06 1.351351351351351372e-04 1.351371093374440099e-04
8.000000000000000000e+06 1.298701298701298700e-04 1.298810815191665108e-04
